reference,doi_link,catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,493,30,3,4.40,0.5,10.8,49.9,5.39,0.0790
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,473,30,3,4.40,0.5,6.2,66.9,4.15,0.0608
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,493,10,3,4.40,0.5,10,35.5,3.55,0.0520
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,473,10,3,4.40,0.5,5.8,55.2,3.2,0.0469
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,513,10,3,4.40,0.5,14.1,18,2.54,0.0372
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,433,30,3,8.80,0.5,2.3,99.8,2.2954,0.0673
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,453,30,3,8.80,0.5,4.3,89.7,3.8571,0.1130
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,473,30,3,8.80,0.5,7.2,75.4,5.4288,0.1591
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,433,10,3,8.80,0.5,0.72,99.8,0.71856,0.0211
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,453,10,3,8.80,0.5,1.7,82.4,1.4008,0.0410
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(10)ZnO(2)/ZrO2(6),Yes,CuO,Cu,53.3,ZnO,ZnO,13.7,ZrO2,33,NA,NA,163,11.80,473,10,3,8.80,0.5,3.5,64,2.24,0.0656
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,433,30,3,8.80,0.5,2.6,90.3,2.3478,0.0688
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,453,30,3,8.80,0.5,4,74.7,2.988,0.0876
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,473,30,3,8.80,0.5,7.3,49.6,3.6208,0.1061
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,433,10,3,8.80,0.5,0.63,99.7,0.62811,0.0184
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,453,10,3,8.80,0.5,1.2,84.5,1.014,0.0297
Arena et al. (2007),https://doi.org/10.1016/j.jcat.2007.04.003,Cu(4)ZnO(4)/Al2O3(6) ,Yes,CuO,Cu,37.9,ZnO,ZnO,35.1,Al2O3,27,NA,NA,105,7.00,473,10,3,8.80,0.5,2.5,64,1.6,0.0469
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO IM,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,9.5,0,0.00,0.0000
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO IM,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,4.5,0,0,0.0000
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO IM,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,0,0,0,0.0000
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO  IM,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,8.5,1,0.09,0.0102
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,"5% Pd, IM",Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,8.7,1,0.09,0.0105
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO IM,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,6.7,2,0.13,0.0162
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO IM,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,0.7,26,0.18,0.0219
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO  IM,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,8.7,2.17,0.19,0.0228
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,"1% Pd, IM",Yes,NA,Pd,0.8,NA,NA,NA,ZnO,99.2,NA,NA,NA,NA,523,20,3,36.20,0.5,3.2,22,0.70,0.0849
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,"1% Pd, SI",Yes,NA,Pd,0.8,NA,NA,NA,ZnO,99.2,NA,NA,NA,NA,523,20,3,36.20,0.5,1.7,76,1.29,0.1557
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,7.2,22,1.58,0.1909
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,5.6,72,4.03,0.4860
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,6.3,64,4.03,0.4860
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,8.7,48,4.18,0.5034
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,7.9,58,4.58,0.5523
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,10.3,54,5.56,0.6705
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,10.7,60,6.42,0.7739
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,10.8,60,6.48,0.7811
Bahruji et al. (2016),https://doi.org/10.1016/j.jcat.2016.03.017,5% Pd/ZnO SI,Yes,NA,Pd,3.9,NA,NA,NA,ZnO,96.1,NA,NA,NA,NA,523,20,3,36.20,0.5,11.1,59,6.55,0.7895
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,473,36,3.8,10.60,0.17,8.4,37.3,3.1,0.0912
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,443,36,3.8,10.60,0.17,3.6,69.5,2.5,0.0735
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,503,36,3.8,10.60,0.17,13.1,13.4,1.8,0.0529
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,503,10,3.8,10.60,0.17,12.1,11.9,1.4,0.0412
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,553,36,3.8,10.60,0.17,29.6,4.5,1.3,0.0382
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,533,36,3.8,10.60,0.17,20.3,5.7,1.2,0.0353
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,473,10,3.8,10.60,0.17,2.4,46.2,1.1,0.0324
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,503,3,3.8,10.60,0.17,4,18.8,0.8,0.0235
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,553,3,3.8,10.60,0.17,21.3,3.6,0.8,0.0235
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,533,3,3.8,10.60,0.17,11.3,6,0.7,0.0206
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,533,10,3.8,10.60,0.17,16.3,4.5,0.7,0.0206
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,553,10,3.8,10.60,0.17,22.4,3,0.7,0.0206
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,443,10,3.8,10.60,0.17,0.8,80,0.6,0.0176
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,473,3,3.8,10.60,0.17,1.2,42.6,0.5,0.0147
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,443,3,3.8,10.60,0.17,0.7,60.3,0.4,0.0118
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,553,0.4,3.8,10.60,0.17,7.6,3.9,0.3,0.0088
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,503,0.4,3.8,10.60,0.17,2.2,10.5,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,533,0.4,3.8,10.60,0.17,4,6,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,473,0.4,3.8,10.60,0.17,0.7,14.8,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu/Al2O3,Yes,CuO,Cu,26,NA,NA,NA,Al2O3,74,NA,NA,184,NA,443,0.4,3.8,10.60,0.17,0.5,11.2,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,553,36,3.8,10.60,0.17,28.6,2.1,0.6,0.0176
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,473,36,3.8,10.60,0.17,8.9,4.1,0.4,0.0118
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,533,36,3.8,10.60,0.17,22.8,1.5,0.3,0.0088
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,443,3,3.8,10.60,0.17,0.9,24.8,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,473,0.4,3.8,10.60,0.17,1.4,15.3,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,473,3,3.8,10.60,0.17,2.2,10.8,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,443,36,3.8,10.60,0.17,2.2,8.3,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,473,10,3.8,10.60,0.17,3.6,4.2,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,503,10,3.8,10.60,0.17,7.4,2.8,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,533,3,3.8,10.60,0.17,10.3,1.9,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,503,36,3.8,10.60,0.17,14.9,1.5,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,553,10,3.8,10.60,0.17,20.7,0.9,0.2,0.0059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,443,0.4,3.8,10.60,0.17,0.4,29.8,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,443,10,3.8,10.60,0.17,1.7,5.2,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,503,0.4,3.8,10.60,0.17,2.6,4.7,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,503,3,3.8,10.60,0.17,4.2,2.6,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,533,0.4,3.8,10.60,0.17,5,1.2,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,533,10,3.8,10.60,0.17,14.1,1,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,553,3,3.8,10.60,0.17,13.7,1,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-K/Al2O3,Yes,CuO,Cu,23.2,K2CO3,K2CO3,11,Al2O3,65.8,NA,NA,181,NA,553,0.4,3.8,10.60,0.17,10.7,1,0.1,0.0029
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,553,36,3.8,10.60,0.17,33.7,4.1,13.8,0.4059
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,553,3,3.8,10.60,0.17,18.2,6.4,11.6,0.3412
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,473,36,3.8,10.60,0.17,4.3,57.2,2.5,0.0735
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,553,10,3.8,10.60,0.17,25.2,9.3,2.3,0.0677
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,503,36,3.8,10.60,0.17,12.4,15.1,1.9,0.0559
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,473,10,3.8,10.60,0.17,2.8,62.2,1.7,0.0500
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,503,3,3.8,10.60,0.17,4.7,29.7,1.4,0.0412
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,503,10,3.8,10.60,0.17,7.4,19,1.4,0.0412
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,533,36,3.8,10.60,0.17,22.9,5.8,1.3,0.0382
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,443,36,3.8,10.60,0.17,1.7,72.3,1.2,0.0353
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,533,3,3.8,10.60,0.17,11.8,10,1.2,0.0353
