cell_id,split,source_cell_index_1based,batch,cycle_life,log10_cycle_life,log10_var_dQ100_10,log10_abs_min_dQ100_10,mean_dQ100_10_Ah,max_Qdlin_cycle2_Ah,max_Qdlin_cycle100_minus2_Ah,max_Qdlin_slope_cycles2_100_Ah_per_cycle
b1c16,primary_test,7,1,862,2.9355072658247128,-4.098969152689226,-1.5589335933607364,-0.012402982932300003,1.0659,-9.999999999998899e-05,-2.926035868893151e-05
b1c18,primary_test,8,1,691,2.8394780473741985,-3.6496358017505415,-1.3552660725528074,-0.0207024155555,1.0492,-0.006000000000000005,-8.484848484849006e-05
b1c20,primary_test,9,1,534,2.727541257028556,-3.3668028503149263,-1.196679476421246,-0.0327951333316,1.0558,-0.017900000000000027,-0.014299882498453929
b1c23,primary_test,10,1,1014,3.0060379549973173,-4.040387541342285,-1.5234581909725713,-0.0133400365857,1.0647,-0.0020999999999999908,-5.5176252319114016e-05
b1c25,primary_test,11,1,854,2.931457870689005,-4.027448282191889,-1.5310621943345402,-0.0124061608704,1.0611,-0.0004999999999999449,-3.6959802102651906e-05
b1c27,primary_test,12,1,842,2.9253120914996495,-3.853266956030704,-1.445753191833889,-0.015514351404200002,1.0639,-0.0027000000000001467,-5.929251700680193e-05
b1c29,primary_test,13,1,917,2.962369335670021,-3.837879929764052,-1.433326862393884,-0.016601203410900003,1.0649,-0.0035000000000000586,-6.491280148422563e-05
b1c31,primary_test,14,1,876,2.9425041061680806,-3.7772558462540347,-1.4037328736044845,-0.017983556461,1.0814,-0.0046999999999999265,-8.266666666667251e-05
b1c33,primary_test,15,1,757,2.8790958795000727,-3.666636007352121,-1.3477536589966763,-0.02165135289447,1.0784,-0.007200000000000095,-0.00010604823747681818
b1c35,primary_test,16,1,703,2.846955325019824,-3.7721361451373334,-1.407268233606039,-0.018223877032500002,1.0564,-0.0035000000000000586,-7.458379715523008e-05
b1c37,primary_test,17,1,648,2.8115750058705933,-3.6734635396113413,-1.3511522916271066,-0.019436843576,1.0586,-0.0030999999999998806,-6.55374149659839e-05
b1c39,primary_test,18,1,625,2.7958800173440754,-3.5041170615819257,-1.2745784499257407,-0.024439284317499997,1.0671,-0.006799999999999917,-0.00010298330241187107
b1c41,primary_test,19,1,1051,3.021602716028242,-4.071079009846434,-1.5451551399914885,-0.012359340362900003,1.0641,-0.0009000000000001229,-4.546072974644064e-05
b1c43,primary_test,20,1,651,2.813580988568192,-3.6673733443112373,-1.3506651412878583,-0.0191661203838,1.0509,-0.0038000000000000256,-6.150649350650014e-05
b1c45,primary_test,21,1,599,2.7774268223893115,-3.4248382123143113,-1.2261404476233133,-0.0288658408056,1.0689,-0.012699999999999934,-0.00015582065553494375
b2c1,primary_test,22,2,148,2.1702617153949575,-2.7264686793826947,-0.8600265120155411,-0.0776836665206,1.0535,-0.10458000000000012,-0.0010118446505875123
b2c3,primary_test,23,2,335,2.525044807036845,-2.929106541372407,-0.9967980534783074,-0.0567153282915,1.0501,-0.04299999999999993,-0.0004762127396413108
b2c5,primary_test,24,2,480,2.681241237375587,-3.6022939364054434,-1.3178549236261679,-0.022221646506363997,1.0506,-0.00649999999999995,-0.00010126159554731293
b2c10,primary_test,25,2,561,2.7489628612561616,-3.625913286828002,-1.3158730743869242,-0.023505494344600003,1.0544,-0.009200000000000097,-0.00014112925170068664
b2c12,primary_test,26,2,458,2.660865478003869,-3.319669232517102,-1.1775050147212498,-0.035010374860299995,1.0562,-0.02180000000000004,-0.00025084106369820694
b2c14,primary_test,27,2,485,2.6857417386022635,-3.4983409730829726,-1.2820799741630065,-0.024368430817000002,1.0615,-0.006900000000000128,-0.0001029672232529399
b2c18,primary_test,28,2,487,2.6875289612146345,-3.527211207188501,-1.2561767783962494,-0.0265162520817,1.0467,-0.012799999999999923,-0.0001693308596165641
b2c20,primary_test,29,2,502,2.7007037171450192,-3.720502097940378,-1.359319846722335,-0.0209074973945,1.0687,-0.006799999999999917,-0.00011872603586889645
b2c22,primary_test,30,2,513,2.7101173651118162,-3.5539374847969687,-1.295849483160201,-0.023680989671299998,1.0635,-0.006999999999999895,-0.00011132467532467562
b2c24,primary_test,31,2,495,2.694605198933569,-3.6953678997975348,-1.3561526897002851,-0.019579501931660002,1.0524,-0.004999999999999893,-9.053308596166134e-05
b2c26,primary_test,32,2,471,2.673020907128896,-3.4067446748355534,-1.2295161905688925,-0.028809890894600003,1.0617,-0.010500000000000176,-0.0001521508967223277
b2c28,primary_test,33,2,509,2.7067177823367587,-3.521848343094291,-1.2867615384543383,-0.0241165029175,1.0565,-0.005600000000000049,-8.417316017316107e-05
b2c30,primary_test,34,2,481,2.682145076373832,-3.6043788318060566,-1.3254143976970858,-0.020764556404509995,1.0513,-0.0031999999999998696,-6.845516388373512e-05
b2c32,primary_test,35,2,519,2.7151673578484576,-3.4866155540798736,-1.2379970306248844,-0.024188946256599998,1.0594,-0.0043999999999999595,-7.594310451453037e-05
b2c34,primary_test,36,2,499,2.6981005456233897,-3.7030208288079374,-1.3726341434072675,-0.01867527499814,1.0538,-0.0012000000000000899,-4.8937538651824644e-05
b2c36,primary_test,37,2,535,2.7283537820212285,-3.5636348415718664,-1.3095381067538225,-0.0204273233982,1.0656,-0.0020000000000000018,-5.3282622139763584e-05
b2c38,primary_test,38,2,465,2.667452952889954,-3.5358280491666676,-1.2892059000696727,-0.0247072310816,1.0543,-0.008099999999999996,-0.00011114533085961891
b2c40,primary_test,39,2,499,2.6981005456233897,-3.5594393030014646,-1.2985183643790734,-0.023897300160099996,1.0626,-0.006399999999999961,-0.00011327767470624519
b2c42,primary_test,40,2,466,2.66838591669,-3.5868844710506957,-1.3012906505574136,-0.023695119755900003,1.0626,-0.007900000000000018,-0.00011715398886827781
b2c44,primary_test,41,2,457,2.6599162000698504,-3.4521786743845517,-1.2446588161884522,-0.026475072998800003,1.0551,-0.009499999999999842,-0.00012006802721088155
b2c46,primary_test,42,2,429,2.6324572921847245,-3.368521686693595,-1.219898808532089,-0.030080433373999998,1.0579,-0.011400000000000077,-0.0001490834879406278
b2c47,primary_test,43,2,713,2.8530895298518657,-4.033482091726939,-1.5285615926107006,-0.0119878123371,1.0217,0.0028999999999999027,-3.283487940630793e-05
b3c0,secondary_test,1,3,1009,3.0038911662369103,-4.244709270331885,-1.6322714539130234,-0.010100921600899997,1.0526,-0.0008999999999999009,-3.637476808905397e-05
b3c1,secondary_test,2,3,1063,3.0265332645232967,-4.2851123528240205,-1.6513058097344588,-0.009621259951000001,1.0498,-0.00039999999999995595,-3.4195423623998355e-05
b3c3,secondary_test,3,3,1115,3.0472748673841794,-4.1160946991586,-1.5712174885030459,-0.010705787174399996,1.049,-0.0012999999999998568,-3.7741496598633956e-05
b3c4,secondary_test,4,3,1048,3.0203612826477078,-4.177975460960132,-1.605373235727791,-0.010108601090700005,1.0559,-0.00039999999999995595,-3.076932591219574e-05
b3c5,secondary_test,5,3,828,2.9180303367848803,-4.113995770299786,-1.5944828930236234,-0.011446849020100002,1.034,-0.0013000000000000789,-3.553865182437206e-05
b3c6,secondary_test,6,3,667,2.824125833916549,-3.5252648178125963,-1.2740883677049517,-0.02851768634015,1.0479,-0.022900000000000142,-0.00023846753246753
b3c7,secondary_test,7,3,1836,3.2638726768652235,-4.48833506838287,-1.7680209731684966,-0.007037792373399999,1.0515,0.0008999999999999009,-2.065800865800748e-05
b3c8,secondary_test,8,3,828,2.9180303367848803,-4.091364837968956,-1.571055709964425,-0.011806320405299997,1.0487,-0.0006999999999999229,-3.088064316635587e-05
b3c9,secondary_test,9,3,1039,3.016615547557177,-3.9818302611767815,-1.5290018303391255,-0.0144772496905,1.0532,-0.0014999999999998348,-4.800989486703377e-05
b3c10,secondary_test,10,3,1078,3.03261876085072,-4.410938883926469,-1.7189666327522723,-0.008335396342943004,1.0461,-0.0005999999999999339,-3.527643784787621e-05
b3c11,secondary_test,11,3,817,2.9122220565324155,-3.8844568184542063,-1.4673729987711095,-0.015620453369399996,1.0518,-0.0039000000000000146,-5.7638837353119e-05
b3c12,secondary_test,12,3,932,2.9694159123539814,-3.9463425481592864,-1.4983930775811691,-0.01531477024537,1.0584,-0.0033000000000000806,-5.8566481137911394e-05
b3c13,secondary_test,13,3,816,2.9116901587538613,-4.093986213084088,-1.5583048643592836,-0.011765784488369999,1.0476,0.00019999999999997797,-3.105009276437402e-05
b3c14,secondary_test,14,3,858,2.9334872878487053,-3.9992371821940162,-1.5334289276136446,-0.0132027892783,1.057,-0.0004999999999999449,-3.915027829314384e-05
b3c15,secondary_test,15,3,876,2.9425041061680806,-4.000260542013378,-1.5303252274482018,-0.013339037592299999,1.0508,-0.0016000000000000458,-4.354607297464281e-05
b3c16,secondary_test,16,3,1638,3.2143138974244,-4.694018204125998,-1.8712777156615708,-0.005323989226299997,1.0471,-0.0006999999999999229,-3.095238095237855e-05
b3c17,secondary_test,17,3,1315,3.1189257528257768,-4.439251922835456,-1.7476324855401009,-0.00723655433747,1.0515,-0.001100000000000101,-2.6676561533709522e-05
b3c18,secondary_test,18,3,1146,3.059184617631371,-4.253592047142586,-1.629671992220489,-0.010342075197000002,1.0521,-0.0021999999999999797,-4.916017316017848e-05
b3c19,secondary_test,19,3,1155,3.062581984228163,-4.171487012920169,-1.5968794788241822,-0.0115447739992,1.0561,-0.0032000000000000917,-5.853308596165893e-05
b3c20,secondary_test,20,3,813,2.910090545594068,-4.065952084153309,-1.5517575873655602,-0.011919331034000002,1.0487,-0.0014000000000000679,-3.410884353741631e-05
b3c21,secondary_test,21,3,772,2.887617300335736,-3.703844847538265,-1.363712747901486,-0.0235412569213,1.0533,-0.017999999999999794,-0.00019939641311069768
b3c22,secondary_test,22,3,1002,3.0008677215312267,-4.0463306224097755,-1.5465287662770635,-0.013722440398,1.0407,-0.0036000000000000476,-5.854050711194014e-05
b3c24,secondary_test,23,3,825,2.916453948549925,-4.15478573169713,-1.605898697959955,-0.010344947107230003,1.0312,0.0008000000000001339,-1.5073593073585955e-05
b3c25,secondary_test,24,3,989,2.9951962915971793,-4.146157929723159,-1.575608445589721,-0.0109259055914,1.0463,-9.999999999998899e-05,-3.1998763141621444e-05
b3c26,secondary_test,25,3,1028,3.011993114659257,-4.219134033319972,-1.6167233495923492,-0.010139640077000002,1.0571,-0.0006999999999999229,-3.831539888682458e-05
b3c27,secondary_test,26,3,850,2.929418925714293,-4.129695254391257,-1.5751183633689319,-0.010711492861100003,1.045,0.00029999999999996696,-2.6756957328386746e-05
b3c28,secondary_test,27,3,541,2.7331972651065692,-3.4512206881404546,-1.237846807696405,-0.030256157493799996,1.0352,-0.02169999999999983,-0.0002317081014223872
b3c29,secondary_test,28,3,858,2.9334872878487053,-4.063128164535102,-1.5388017113775077,-0.0113020653115,1.0491,0.000600000000000156,-2.4907854050712886e-05
b3c30,secondary_test,29,3,935,2.9708116108725178,-4.099792417056226,-1.5728385970740346,-0.01113736065,1.0534,-9.999999999998899e-05,-3.4040816326534994e-05
b3c31,secondary_test,30,3,731,2.8639173769578603,-3.8391659159002547,-1.4483060848727753,-0.01635162004,1.0521,-0.0034000000000000696,-5.6091527520095235e-05
b3c33,secondary_test,31,3,1284,3.1085650237328344,-4.3954192296127,-1.7013652168755653,-0.007848208075999999,1.0452,-0.0006999999999999229,-2.887322201608491e-05
b3c34,secondary_test,32,3,1158,3.0637085593914173,-4.3052794040416575,-1.6673595896125368,-0.009551769622000002,1.0455,-0.001100000000000101,-3.9971552257260275e-05
b3c35,secondary_test,33,3,1093,3.038620161949703,-4.234451466010785,-1.637706062035769,-0.009827507526399997,1.0475,-0.0012000000000000899,-3.5167594310445946e-05
b3c36,secondary_test,34,3,923,2.965201701025912,-4.25300764778252,-1.6386499756477335,-0.009909288014100003,1.0416,-0.001100000000000101,-4.1983920841068844e-05
b3c38,secondary_test,35,3,1935,3.28668096935493,-4.341747451768828,-1.6957249495228717,-0.008691888439,1.0545,-0.0013000000000000789,-3.7952999381566745e-05
b3c39,secondary_test,36,3,1156,3.0629578340845103,-4.454193966746287,-1.757955760630451,-0.006427574592,1.0327,0.0013000000000000789,-1.4833642547936777e-05
b3c40,secondary_test,37,3,796,2.900913067737669,-4.294702777680194,-1.6563944918958289,-0.009079380482300003,1.0415,0.0020999999999999908,-2.0813852813853335e-05
b3c41,secondary_test,38,3,786,2.895422546039408,-4.219060451375275,-1.6161846340195687,-0.009747017913670003,1.0373,9.999999999998899e-05,-3.019666048237692e-05
b3c44,secondary_test,39,3,940,2.9731278535996988,-4.13105886371999,-1.585193720498988,-0.011230608344729998,1.0545,-0.00029999999999996696,-3.180457637600995e-05
b3c45,secondary_test,40,3,1801,3.2555137128195333,-4.5204213864803116,-1.7830427926389016,-0.007131264795115001,1.053,0.00019999999999997797,-2.434137291279736e-05
